Name;Ct
NK1;11.5
NK1;11.57
NK2;11.18
NK2;11.2
NK3;11.21
NK3;11.15
NK4;11.87
NK4;11.84
NK5;11.68
NK5;11.71
NK6;11.7
NK6;11.68
NK7;11.11
NK7;11.1
NK8;11.12
NK8;11.17
NK9;11.28
NK9;11.29
NK10;11.62
NK10;11.68
NK11;11.61
NK11;11.58
NK12;11.8
NK12;11.78
