Name;Ct
NK1;18.11
NK1;18.13
NK2;18
NK2;17.96
NK3;17.98
NK3;17.93
NK4;18.59
NK4;18.58
NK5;18.34
NK5;18.3
NK6;18.35
NK6;18.32
NK7;18.23
NK7;18.12
NK8;18.21
NK8;18.24
NK9;18.3
NK9;18.37
NK10;18.54
NK10;18.61
NK11;18.56
NK11;18.49
NK12;18.77
NK12;18.72
