Name;Ct
NK1;7.49
NK1;7.56
NK2;7.63
NK2;7.87
NK3;7.52
NK3;7.54
NK4;7.57
NK4;7.72
NK5;7.52
NK5;7.66
NK6;7.53
NK6;7.54
NK7;7.64
NK7;7.68
NK8;7.7
NK8;7.73
NK9;7.7
NK9;7.63
NK10;8.01
NK10;7.94
NK11;7.77
NK11;8.05
NK12;8.49
NK12;8.58
