;@qpcr:group;;;;;@qpcr:group;;;;;@qpcr:group;;;;
Target;Dog 2 NormalCt;Dog 7 Normal Ct;Dog 11 Normal Ct;Dog 24 Normal Ct;Dog 28 Normal Ct;Dog 5 Mild Ct;Dog 8 Mild Ct;Dog 13 Mild Ct;Dog 15 Mild Ct;Dog 16 Mild Ct;Dog 14 Severe Ct;Dog 23 Severe Ct;Dog 25 Severe Ct;Dog 29 Severe Ct;Dog 30 Severe Ct
miR-299;40;32.599777;34.527092;33.084457;34.016308;34.49579;35.4204;34.91035;32.778736;34.724014;35.24544;34.000805;40;35.32165;33.53313
miR-1841;40;35.565388;34.7129;35.46613;34.74227;35.630146;34.99611;35.44259;32.66623;35.634033;40;33.978275;40;35.63815;34.384476
miR-542;35.794636;33.902016;34.944187;35.175117;35.317997;33.70772;35.149532;35.33639;31.137386;35.34249;35.60533;33.303295;34.3385;33.60512;31.704824
miR-105b;40;40;34.80343;40;40;34.64072;40;40;35.5983;40;40;40;34.787975;35.57218;40
miR-1838;34.92166;33.86246;33.46551;27.975945;30.319664;32.630596;32.443344;33.16393;32.990902;31.988132;34.730824;33.436447;29.726206;30.932407;27.996956
miR-503;35.44041;32.721394;32.445538;35.500797;33.95438;31.87755;33.074097;31.960546;30.758474;32.988625;33.6092;32.763912;34.893806;33.319263;32.357483
miR-363;35.59639;34.322327;40;33.89993;33.952236;34.256374;40;40;40;40;40;34.680477;34.180645;35.580894;33.968395
miR-410;40;40;35.13676;40;40;40;35.280117;34.89406;35.466377;35.439976;40;40;40;40;40
miR-664;34.635426;33.070446;33.941757;34.169777;32.24084;33.265293;35.28318;32.938625;31.363337;34.13016;35.279438;32.88232;33.978764;34.614273;32.242
miR-497;34.766518;33.00667;32.79709;34.474007;33.20152;31.843409;31.89316;33.06788;30.945173;33.64172;34.914787;31.37774;34.55597;33.097717;31.135834
miR-495;40;32.675297;40;40;40;35.49428;35.57203;35.417984;32.649227;40;34.117493;33.803608;35.566048;40;34.76596
miR-487b;35.329887;34.568897;40;40;34.661736;35.574142;35.055035;34.440533;33.0482;33.980053;34.81511;35.19521;40;35.59693;32.37155
miR-589;34.80536;33.871216;35.495228;40;35.03826;33.126575;33.840363;34.871464;31.891653;34.762505;34.972954;34.738224;35.617485;40;32.63671
miR-599;40;40;40;40;33.64759;34.16348;35.22503;35.406597;35.489197;40;40;40;40;40;35.436058
miR-212;40;35.47463;40;40;40;40;40;34.73631;34.47302;40;40;35.427914;40;40;33.693966
miR-487a;35.019245;35.438293;35.33002;35.210957;34.904568;32.942627;35.266563;34.190914;34.62109;34.453655;35.555336;35.243553;34.665073;35.329075;35.442265
miR-425;34.814045;33.71173;35.493492;34.909733;33.616566;32.045776;34.766727;32.81263;30.223478;34.514603;34.825817;33.638058;40;35.598793;32.027767
miR-505;34.56764;31.828289;31.97168;34.39521;32.42901;31.981705;31.964758;32.604973;32.147808;34.153748;40;33.137604;35.503643;34.166878;32.97688
miR-30e;32.73977;29.335966;31.051283;34.72642;31.93473;30.920475;30.312737;30.32057;29.552456;32.265327;34.398376;30.960173;35.754345;32.267506;31.522715
miR-219-5p;40;40;40;40;40;40;34.86576;34.740837;34.80445;40;40;40;40;40;40
miR-660;34.638454;32.387802;32.815235;40;40;33.10176;33.06544;32.4118;30.506575;31.668537;35.47645;33.232292;35.080032;40;31.97791
miR-136;34.317757;33.17663;34.469196;33.34808;34.820305;33.107464;34.850803;35.47294;35.177834;34.868443;34.764202;35.101658;35.050457;40;34.936687
miR-326;35.52994;33.92087;32.54865;34.49245;34.062305;31.970322;32.09632;33.87906;32.079494;35.377823;35.02531;33.021984;34.850594;34.135674;33.209595
miR-382;34.769466;35.4889;35.445156;40;33.490253;34.720097;33.170994;35.490242;33.25475;34.658226;40;35.525547;40;40;34.388367
miR-215;40;40;40;35.26657;40;34.962826;34.60698;40;34.62628;40;40;40;40;32.94618;33.73858
miR-221;26.915955;25.036697;26.833147;31.327637;26.983686;24.631628;25.767118;26.629408;25.22028;28.183577;29.548574;26.886763;31.57735;30.77883;26.860655
miR-190b;33.153515;32.653873;35.59134;34.70072;35.06815;34.03084;33.217983;34.25693;34.484436;34.331234;40;34.00318;40;40;34.54607
miR-148b;32.351215;28.262413;30.512985;35.531113;31.418522;29.498266;29.07155;29.33828;27.332897;31.355799;34.142223;30.58246;35.297634;34.181618;28.969263
miR-350;32.10262;29.142015;30.84202;34.74038;30.994152;29.401705;30.209305;29.629671;27.92582;32.023895;33.278736;31.22315;35.582573;33.0557;29.228659
let-7i;40;40;34.787155;34.987217;35.61321;33.798946;40;40;35.181263;40;40;40;40;34.927902;35.393074
miR-155;29.838007;27.228716;28.118484;31.858051;28.613247;27.21703;26.969133;27.601124;26.654335;30.51529;31.79643;28.861803;31.9593;30.045216;28.865164
miR-199;27.256933;23.918617;25.689224;30.685507;25.934908;24.58518;25.584782;24.820608;23.332163;26.93744;29.467615;25.321194;30.951626;29.402575;24.85746
miR-423a;31.47605;28.705173;28.333097;35.26118;29.413935;28.253374;28.33876;29.484325;28.016722;29.845636;31.810785;29.66405;34.07686;31.329151;30.276752
miR-450a;33.650414;30.293402;31.597319;33.390976;31.743017;29.827448;31.955214;30.641685;28.017344;32.10831;33.318817;31.341465;34.99182;33.250504;29.367044
miR-301b;35.674065;35.347145;34.722015;34.995564;35.55921;35.576958;35.0539;35.164165;33.692764;34.025887;35.35121;35.174847;35.46254;40;32.299953
miR-578;40;40;40;35.376595;35.00349;40;40;40;40;40;40;40;40;35.200085;35.336296
miR-652;32.32703;30.563868;31.87942;35.59527;32.661983;30.29884;31.042023;31.255274;29.883768;32.139008;34.452454;32.769238;33.243446;33.229733;32.356678
miR-19b;32.779293;29.92586;32.40917;33.955482;32.749065;31.167242;30.489525;30.379301;28.495613;31.1782;31.827435;33.239796;34.90808;33.82244;28.362488
miR-574;32.387203;29.254704;30.14093;32.453888;30.204994;29.348303;29.888956;30.697258;29.270252;32.33461;33.27907;29.992287;35.146427;33.15987;30.38126
miR-592;40;40;34.860462;35.061104;40;40;40;34.844193;40;40;40;40;35.504852;40;40
miR-302d;34.79132;34.29445;33.798206;40;33.959538;34.064964;35.188824;35.42135;32.791904;34.825653;34.197323;35.374996;34.66842;33.3834;35.412796
miR-489;34.6863;32.341526;33.25688;32.30968;32.779274;32.0129;32.335983;33.00199;31.165636;32.252243;34.21664;32.676136;35.201477;34.555866;31.91126
miR-153;40;35.398453;34.794804;34.408443;32.516663;34.148357;35.48098;40;35.577965;34.29135;40;40;34.599842;34.866844;34.480488
miR-488;40;35.346603;40;35.462307;35.22556;34.654274;33.013153;34.849545;33.82313;40;40;34.936264;33.282856;33.766647;35.31396
miR-135a-3p;40;34.5493;35.35755;40;34.2773;34.55868;33.85528;35.5759;31.611626;33.020542;40;34.359146;35.189438;35.629158;34.992214
miR-376b;34.412094;35.143806;40;40;35.41835;40;40;40;34.033024;35.591537;40;40;40;40;34.80564
miR-671;32.766632;32.32786;32.42469;33.22266;32.994072;33.097923;33.77196;33.125053;30.302006;35.26567;34.613857;32.539185;34.82922;35.406357;32.441097
miR-532;35.30626;33.13124;33.743366;32.303577;31.772406;33.179764;32.94785;34.981094;31.796246;34.92313;34.178844;33.095127;34.205654;33.979427;32.227627
miR-377;34.653767;32.061623;32.589565;35.125053;32.880714;32.827366;32.725418;34.476166;32.111103;34.882656;35.217327;34.97061;32.7783;34.377716;33.054626
miR-135b;40;33.665775;35.17497;34.749058;34.399773;33.96549;35.249104;35.50585;34.339123;34.84686;40;40;40;40;33.088123
miR-653;40;40;35.219036;34.330273;32.944515;40;40;40;40;40;40;35.26207;33.96849;34.20148;33.53898
miR-374a;34.418724;29.913843;32.82516;35.463505;32.401466;29.923769;31.96095;30.627237;27.814436;31.883553;34.178467;31.940027;34.537743;35.517654;29.885693
miR-1842;33.62932;33.12092;34.096546;33.19666;32.964767;33.16472;33.361366;32.95641;31.133955;33.532658;35.27856;33.311916;34.892506;35.367832;32.756824
miR-329a;40;40;35.143078;40;35.519196;40;35.752968;35.76058;35.64174;33.955364;40;40;40;34.901764;35.438015
miR-371;34.439648;32.978996;35.20056;34.561806;35.143623;34.390507;34.42106;35.19054;33.00432;33.007957;35.292873;35.556168;34.737244;34.773483;33.901657
miR-181d;30.564034;27.38988;29.504845;33.490852;29.43827;28.28064;28.62219;28.413305;27.049126;30.170355;32.091408;29.356396;33.86918;32.623024;29.33735
mir-324;35.294514;32.17844;34.13726;33.100826;33.027233;32.074524;32.972282;33.64945;31.505322;35.289375;40;32.257042;33.64071;34.519054;32.417763
miR-140;29.642593;26.176674;27.675743;32.921276;28.081238;26.128643;27.294693;27.815554;26.121098;30.211859;30.39454;28.748343;33.292717;31.762947;27.62417
miR-1836;40;32.216976;33.384468;40;34.598717;30.222162;33.993256;31.925344;27.940357;31.292885;40;34.071144;40;40;30.40997
miR-32;40;35.125378;40;40;40;35.12693;34.992424;40;40;40;35.21401;40;34.24653;35.567978;35.128914
miR-455;35.3361;33.2318;34.534077;30.982134;32.048073;32.64035;34.24317;32.824177;31.343853;32.771225;35.502;32.954403;40;32.660255;31.182232
miR-1839;34.731823;32.378876;32.228817;33.879868;34.53611;32.457527;32.555557;33.3099;31.276342;35.573772;40;34.131462;Undetermined;40;32.229332
miR-132;35.40829;33.24233;32.78095;35.27971;33.745792;32.95466;32.3378;32.876877;31.888016;33.484497;34.879936;33.245724;35.580414;34.711937;33.867878
miR-345;34.440758;35.3608;35.551006;33.89112;35.13402;34.877464;33.90915;35.42597;33.921795;34.54753;34.986713;34.775696;40;35.421192;33.342823
miR-361;32.4115;29.771626;31.089893;34.46658;31.457754;30.102812;30.868177;31.111929;30.08908;32.012054;34.184772;30.92157;34.592533;33.34904;32.125885
miR-186;31.942064;28.46921;30.255615;32.958065;31.42078;28.993935;29.779316;29.359783;27.431095;31.01612;33.024387;31.344292;34.474846;34.076443;29.187172
miR-502;34.373684;31.89142;33.16959;40;33.97153;31.500162;31.999346;32.1231;30.628504;32.066036;33.886517;32.332893;35.013092;34.135906;31.891521
miR-92b;31.13147;28.61055;29.185167;26.045256;27.026295;28.28107;28.455765;28.899551;28.130058;28.927923;30.760153;28.855646;28.2062;27.85788;26.476702
miR-802;40;40;34.769928;35.21814;35.04552;35.094215;40;40;34.319744;34.697445;40;40;40;34.592022;40
miR-376c;40;40;40;34.875618;40;40;40;40;35.5276;40;40;40;40;40;40
miR-493;40;35.19154;34.588783;40;34.004215;32.96418;35.19194;35.162968;33.985245;33.292835;34.873722;34.461792;40;35.28694;33.78714
miR-188;34.685516;34.631416;34.302677;34.341927;33.87375;32.69937;33.813244;34.04234;32.825928;40;35.60074;35.38502;40;40;33.289097
miR-875;34.974586;40;40;34.788452;40;40;35.432297;35.872086;34.919853;40;40;34.620792;40;40;34.959667
miR-374b;32.221603;27.654982;28.929277;34.120476;30.360619;29.196442;30.16488;28.315664;27.37963;31.155344;35.17238;29.695724;34.49334;33.14785;30.239231
miR-151;29.90695;27.005587;28.295332;35.297867;28.743284;27.337599;27.949902;28.39381;26.905897;29.983536;31.997883;28.294094;33.058624;32.396515;28.284313
miR-202;40;40;34.349644;40;33.042427;40;40;40;35.56322;34.958614;40;40;40;40;40
miR-452;34.283417;33.965195;34.736427;35.21123;33.06842;32.465347;32.037334;32.486187;31.518736;35.39009;35.01785;33.035465;34.82552;35.589153;32.491657
miR-338;40;35.129543;40;35.471508;40;35.458282;34.832863;40;35.514397;40;40;40;35.53788;40;34.3696
miR-320;28.426666;25.997248;26.17301;31.641163;26.849506;25.556843;25.145733;26.53408;25.773556;27.45349;28.757679;26.920841;30.265821;29.18683;27.859436
miR-185;31.143528;28.319748;29.215466;32.633167;30.363369;28.901852;28.856298;30.008915;28.834843;30.871132;31.881123;30.128826;34.53288;32.827843;30.343243
miR-207;40;34.543297;34.462452;32.94573;33.25948;33.346977;33.572773;34.52974;33.546604;35.379597;40;33.780346;34.364307;32.990307;32.385475
miR-485;34.698044;33.250797;35.017963;34.15128;34.39644;33.20559;31.962156;40;33.964073;35.608326;31.190266;35.43318;31.336594;32.600048;33.262234
miR-448;40;35.317677;40;33.233257;40;40;33.973995;40;40;40;40;40;40;35.577854;40
miR-142;40;40;40;35.605057;35.11228;35.614227;40;40;35.775948;40;40;40;40;40;40
miR-130b;32.513924;30.171223;32.098083;32.460247;32.366367;31.042734;30.302313;30.981796;29.540695;33.064327;34.00949;32.43155;35.454693;34.29537;31.643124
miR-381;40;34.970184;34.72148;40;34.217587;35.426956;35.317112;40;32.179523;35.58081;40;35.004017;35.674232;40;40
miR-362;33.526863;31.127096;31.79178;40;32.6206;30.87902;31.582342;31.90298;30.350811;32.75305;33.38573;31.92292;35.5106;34.948853;31.617651
miR-328;27.483456;33.792877;31.229136;21.756098;21.93929;31.436253;33.566605;34.35287;31.70258;34.87419;25.790773;33.369892;21.950785;22.018782;21.77722
miR-99b;32.338017;27.189335;27.96843;31.9871;29.394997;28.357128;28.167492;27.966154;27.117691;29.11939;33.137215;28.250443;32.17459;32.416718;28.895947
miR-340;34.02025;32.111526;35.315353;35.550785;34.012806;33.18869;34.652946;32.536297;31.351204;35.516083;33.754105;35.44136;34.282276;35.45309;31.958624
miR-26b;28.32619;25.101683;26.21653;31.861921;27.607777;25.859625;27.109459;26.147598;24.967068;28.131826;30.366644;27.247545;31.888195;30.137383;27.386806
miR-369;40;34.20779;40;40;40;35.050117;40;35.1077;34.87977;40;40;40;40;40;32.786285
miR-105a;40;34.4185;40;40;40;40;34.17377;40;34.66069;40;40;40;40;34.59914;35.366627
miR-708;34.239258;32.90903;35.7979;34.665462;32.917374;32.84413;32.075943;34.222088;34.08586;35.5766;33.08459;34.57339;35.44112;33.432743;34.971153
miR-216a;35.102608;35.22256;35.137096;34.26535;34.55443;34.427258;34.94487;40;32.631844;34.776;35.972946;35.152462;19.770332;34.780865;34.82541
miR-758;40;40;40;40;40;40;35.076767;40;34.405014;40;40;40;40;34.742382;40
miR-149;32.80789;31.087183;31.75142;34.332687;32.560425;30.831936;31.452032;32.24693;30.417686;34.946346;35.53083;31.635773;31.88136;34.2015;31.398567
miR-491;34.563507;34.97217;34.72744;32.734665;32.92329;35.85524;34.569954;33.497982;32.88623;34.135696;35.549313;40;33.79626;33.71936;32.658417
miR-134;34.688698;34.27846;35.51783;31.508846;32.83201;33.70741;33.888577;35.590878;34.37256;35.328;35.147842;34.826733;35.09921;32.125225;32.343864
miR-1271;32.609085;29.278896;30.600183;34.43623;31.190435;29.687386;30.140572;30.21668;29.123352;31.90687;34.537334;30.99031;35.174995;33.005642;31.308615
miR-551a;35.58066;35.546917;33.312824;40;35.29123;34.379147;34.3734;35.199955;33.83613;40;40;34.312683;40;35.317802;35.45998
miR-208a;40;34.52575;40;40;40;35.70785;34.895287;40;40;40;40;40;35.20698;40;40
miR-665;40;33.75317;34.90806;35.536026;35.45821;34.952538;35.356903;34.289337;34.321457;40;35.106987;34.782097;40;40;34.695583
miR-196b;34.77218;35.265038;35.03047;30.414167;31.08608;35.16661;35.091125;40;34.386425;40;35.524776;40;34.346115;31.33332;31.189999
miR-99a;31.404179;26.959492;28.3956;32.177547;29.289076;27.343662;28.383734;27.206367;26.151226;29.243692;32.25943;28.42699;33.23359;31.666208;27.49008
miR-133a/b/c;35.126007;30.590584;31.1503;40;31.611156;31.703709;32.07698;33.287212;30.510971;32.236916;34.370804;30.22731;35.3537;33.248566;31.131552
