,group,assay,mean,stdev,median,group_name
0,0,HNRNPL_nmd_rel_28S+actin,1.0500564048268677,0.03226336893850055,1.0502665288958353,wt-
1,0,HNRNPL_prot_rel_28S+actin,1.0252393625633935,0.043917945083941284,1.006244135969962,wt-
2,1,HNRNPL_nmd_rel_28S+actin,6.052860136420891,0.9753146241555485,6.36625098541656,wt+
3,1,HNRNPL_prot_rel_28S+actin,0.9137583934389364,0.05571438295354942,0.9172705159759514,wt+
4,2,HNRNPL_nmd_rel_28S+actin,9.566500345486746,0.5626133332349528,9.614923515277699,ko-
5,2,HNRNPL_prot_rel_28S+actin,0.8566579868372668,0.032760788392574416,0.8627678492008425,ko-
6,3,HNRNPL_nmd_rel_28S+actin,16.94033154495191,1.2342234554919382,16.964905861112825,ko+
7,3,HNRNPL_prot_rel_28S+actin,0.9256646158981381,0.06337664044124809,0.9319486259587217,ko+
