group,group_name,assay,n,mean,stdev,median,"IQR_(0.25, 0.75)",CI_0.95
0,WT-,HNRNPL_nmd_rel_28S+actin,6,1.0500564048268677,0.02945229158121376,1.0502665288958353,0.03851123736335804,[1.01619808 1.08391473]
1,WT+,HNRNPL_nmd_rel_28S+actin,6,6.052860136420892,0.8903363671911114,6.36625098541656,1.516538877802117,[5.02933021 7.07639006]
2,KO-,HNRNPL_nmd_rel_28S+actin,6,9.566500345486746,0.5135933562765911,9.614923515277699,0.7340272432442596,[ 8.97607386 10.15692683]
3,KO+,HNRNPL_nmd_rel_28S+actin,6,16.94033154495191,1.1266867126248468,16.964905861112825,1.09601634328423,[15.64509346 18.23556963]
0,WT-,HNRNPL_prot_rel_28S+actin,6,1.0252393625633935,0.04009141533624626,1.006244135969962,0.028966180503807504,[0.97915031 1.07132842]
1,WT+,HNRNPL_prot_rel_28S+actin,6,0.9137583934389365,0.050860040535233866,0.9172705159759514,0.042986506099427446,[0.85528973 0.97222705]
2,KO-,HNRNPL_prot_rel_28S+actin,6,0.8566579868372668,0.029906371340444035,0.8627678492008425,0.02806972796957863,[0.82227765 0.89103833]
3,KO+,HNRNPL_prot_rel_28S+actin,6,0.9256646158981381,0.05785469264760957,0.9319486259587217,0.07366379193839889,[0.85915491 0.99217432]
0,WT-,SRSF11_nmd_rel_28S+actin,6,0.8854027123052152,0.10286521067558786,0.8576197568038231,0.17218295918337168,[0.76714895 1.00365647]
1,WT+,SRSF11_nmd_rel_28S+actin,6,3.3743731439519187,0.6381383870248761,3.6445756327312084,0.813221888225276,[2.6407698  4.10797649]
2,KO-,SRSF11_nmd_rel_28S+actin,6,5.286669731071003,0.3472794145696148,5.284114913729679,0.6613346822947275,[4.88743761 5.68590185]
3,KO+,SRSF11_nmd_rel_28S+actin,6,7.60406639885511,0.5805531735976305,7.77022969100784,0.7714642337513329,[6.93666297 8.27146983]
0,WT-,SRSF11_prot_rel_28S+actin,6,1.0097131202011942,0.03199854493599772,0.9971466519391137,0.05356531167579526,[0.97292762 1.04649862]
1,WT+,SRSF11_prot_rel_28S+actin,6,1.1979830943366605,0.07691492717166386,1.1901677452760768,0.1262466201627621,[1.10956176 1.28640443]
2,KO-,SRSF11_prot_rel_28S+actin,6,0.8874035860764335,0.060800024907000524,0.8948106796255455,0.10261163774067872,[0.81750793 0.95729924]
3,KO+,SRSF11_prot_rel_28S+actin,6,1.136572506743555,0.13924403191475368,1.0964899439869757,0.174389659667896,[0.97649769 1.29664733]
