,group,assay,mean,stdev,median,group_name
0,0,HNRNPL_nmd_rel_28S+actin,1.0486198855114306,0.03207091281519846,1.043294056387618,wt-
1,0,HNRNPL_prot_rel_28S+actin,1.0083269514059077,0.014581083410946053,1.0012091607244138,wt-
2,1,HNRNPL_nmd_rel_28S+actin,5.88595941844043,0.8854961988158478,6.310374054599821,wt+
3,1,HNRNPL_prot_rel_28S+actin,0.920708025158427,0.053050053550165954,0.9187747187638251,wt+
4,2,HNRNPL_nmd_rel_28S+actin,9.566500345486746,0.5135933562765911,9.614923515277699,ko-
5,2,HNRNPL_prot_rel_28S+actin,0.8566066135318084,0.01436658495565808,0.8627678492008425,ko-
6,3,HNRNPL_nmd_rel_28S+actin,16.94033154495191,1.1266867126248468,16.964905861112825,ko+
7,3,HNRNPL_prot_rel_28S+actin,0.9256646158981381,0.05785469264760957,0.9319486259587217,ko+
