Name;Ct
NK1;25.94
NK1;25.9
NK2;25.71
NK2;25.86
NK3;25.74
NK3;25.73
NK4;23.5
NK4;23.44
NK5;23.36
NK5;23.32
NK6;23.8
NK6;23.76
NK7;22.65
NK7;22.62
NK8;22.6
NK8;22.56
NK9;22.55
NK9;22.59
NK10;22.18
NK10;22.15
NK11;22.25
NK11;22.17
NK12;22.37
NK12;22.39
