id;Ct
dilution 1/1;15.02
dilution 1/1;14.95
dilution 1/2;15.89
dilution 1/2;16.05
dilution 1/4;16.76
dilution 1/4;16.83
dilution 1/8;17.81
dilution 1/8;17.64
dilution 1/16;18.53
dilution 1/16;18.71
dilution 1/32;19.59
dilution 1/32;19.73
dilution 1/64;20.78
dilution 1/64;20.64
